,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/shamiana-indian-restaurant-5004408,SHAMIANA Indian Restaurant,4.3 Stars,"['24 Maju Avenue, Singapore 556696']","['Accept Credit Cards', 'WiFi', 'Halal Certified Restaurant', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Cash Only', 'Diners', 'NETS']","['Family Friendly', 'Fine Dining', 'Kids Friendly']","['English', 'Tamil']"
1,https://eatigo.com/sg/singapore/en/r/shi-ding-xuan-hotpot-5007591,Shi Ding Xuan Hotpot,4 Stars,"['2 Venture Dr, #02-30 Vision Exchange, Singapore 608526']","['parking (chargeable)', 'Air Conditioning']",['NETS'],"['Casual Dining', 'Family Friendly']",['Chinese']
2,https://eatigo.com/sg/singapore/en/r/shi-hao-hotpot-bbq-5006543,Shi Hao Hotpot BBQ,4.7 Stars,"['267 Geylang Road #01-01 , Singapore 389688']","['Child Friendly', 'Air Conditioning', 'Indoor dining']",['NETS'],"['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/shideji-5007410,Shideji,4 Stars,"['228 Tanjong Katong Road, Singapore 437016']","['Air Conditioning', 'No Pork, No Lard']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'All day dining']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/shree-ganga-5005102,Shree Ganga,1.6 Stars,['Shree Ganga @ 109 Amoy Street Singapore 069929'],"['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Hindi', 'Tamil']"
5,https://eatigo.com/sg/singapore/en/r/shu-xiang-5003003,Shu Xiang,3.8 Stars,"['Far East Plaza #01-22 ,14 Scotts Road, Singapore 228213']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa']","['After Work Drinks', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
6,https://eatigo.com/sg/singapore/en/r/shu-yan-3256,Shu Yan,4.5 Stars,"['207 River Valley Road UE Square #01-51/54 @Mohamed Sultan Road, Singapore 238275 (Along Mohamed Sultan Road)']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/shutters-amara-sanctuary-resort-sentosa-1475,Shutters @ Amara Sanctuary Resort Sentosa,4.6 Stars,"['1 Larkhill Road, Amara Sanctuary @ Sentosa, Singapore 099394']",['WiFi'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Business Meetings', 'After Work Drinks', 'Family Friendly', 'Al Fresco']",['English']
8,https://eatigo.com/sg/singapore/en/r/si-wei-mao-cai-5001486,Si Wei Mao Cai,4.4 Stars,"['33 Mosque Street, Singapore 059511']","['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly']",['Chinese']
9,https://eatigo.com/sg/singapore/en/r/si-wei-xiao-huo-guo-5001484,Si Wei Xiao Huo Guo,4 Stars,['31 Mosque Street Singapore 059509'],"['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly']",['Chinese']
10,https://eatigo.com/sg/singapore/en/r/siam-kitchen-lot-one-502,Siam Kitchen @ Lot One,4.3 Stars,"['21 Choa Chu Kang Avenue, #02-25, Singapore 689812']","['Accept Credit Cards', 'parking (chargeable)', 'Halal Certified Restaurant']","['Master Card', 'Visa']",['Casual Dining'],['English']
11,https://eatigo.com/sg/singapore/en/r/sichuan-kungfu-fish-2895,Sichuan Kungfu Fish,4.4 Stars,"['3 Temasek Boulevard #B1- 132/171 Suntec City, Singapore 038983']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
12,https://eatigo.com/sg/singapore/en/r/sikdang-5005206,Sikdang,4.2 Stars,['28 Tanjong Pagar Road Singapore 088451'],"['WiFi', 'Private Dining Area', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
13,https://eatigo.com/sg/singapore/en/r/simply-avo-5006548,Simply Avo,4 Stars,"['SAFRA Tampines 1A, Tampines Street 92, #01-17, Singapore 528882']","['Child Friendly', 'WiFi', 'parking (chargeable)', 'Wheelchair Access']",['Cash Only'],"['Casual Dining', 'Friendly', 'Family Friendly']","['English', 'Malay', 'Chinese']"
14,https://eatigo.com/sg/singapore/en/r/singapore-lunch-buffet-experience-the-villa-5005587,Singapore Lunch Buffet Experience @ The Villa,4 Stars,"['1 Cluny Road (via Tyersall Avenue) Ginger Garden, Singapore Botanic Gardens, Singapore 259569']","['Accept Credit Cards', 'WiFi', 'Scenic View', 'Halal Certified Restaurant', 'Air Conditioning', 'Wheelchair Access', 'Indoor dining']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Relaxed']","['English', 'Chinese']"
15,https://eatigo.com/sg/singapore/en/r/sitara-restaurant-5005370,Sitara Restaurant,4.5 Stars,"['291 Serangoon Road, Serangoon Building, #01-00, Singapore 218107']",['Air Conditioning'],"['Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly', 'All day dining', 'Kids Friendly']","['English', 'Hindi', 'Tamil']"
16,https://eatigo.com/sg/singapore/en/r/small-ville-bakery-cafe-5000564,Small Ville Bakery Café,3.9 Stars,"['7 Ang Mo Kio Street 66 #01-08, Floravista, Singapore 567708']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Cash Only', 'NETS']","['Romantic Dates', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese']"
17,https://eatigo.com/sg/singapore/en/r/smoobar-holland-village-5003552,SMÖÖbar @ Holland Village,3.3 Stars,"['29A Lorong Mambong, Singapore 277687']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['After Work Drinks', 'Al Fresco']","['English', 'Chinese']"
18,https://eatigo.com/sg/singapore/en/r/smoobar-prinsep-5000671,SMÖÖbar @ Prinsep,3.7 Stars,"['44A Prinsep Street, Singapore 188674']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['After Work Drinks', 'Al Fresco']","['English', 'Chinese']"
19,https://eatigo.com/sg/singapore/en/r/smoobar-safra-toa-payoh-5000716,SMÖÖbar @ SAFRA Toa Payoh,3.8 Stars,"['293\xa0Lorong 6 Toa Payoh,\xa0#03-03\xa0SAFRA Clubhouse, Singapore 319387']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese']"
20,https://eatigo.com/sg/singapore/en/r/smoobar-live-5007449,SMÖÖbar Live,4 Stars,"['74A Prinsep Street, Singapore 188669']","['Alcoholic Drinks Available', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['After Work Drinks', 'Live music', 'Al Fresco']","['English', 'Chinese']"
21,https://eatigo.com/sg/singapore/en/r/soi-55-5004228,Soi 55,4.7 Stars,['3 Pickering Street #01-30 Singapore 048660'],"['Child Friendly', 'Air Conditioning']",['Cash Only'],['After Work Drinks'],['English']
22,https://eatigo.com/sg/singapore/en/r/soi-thai-soi-nice-jem-5006408,Soi Thai Soi Nice @ JEM,4.4 Stars,"['50 Jurong Gateway Road, Jem, #03-21 , Singapore']","['Accept Credit Cards', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)', 'Kids Friendly']","['English', 'Chinese']"
23,https://eatigo.com/sg/singapore/en/r/soi-thai-soi-nice-seletar-mall-5006407,Soi Thai Soi Nice @ Seletar Mall,4.3 Stars,"['33 Sengkang West Avenue, #01-29/30 , Singapore']","['Accept Credit Cards', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)', 'Kids Friendly']","['English', 'Chinese']"
24,https://eatigo.com/sg/singapore/en/r/som-tam-2136,Som Tam,4.3 Stars,"['181 Orchard Road, Orchard Central, #08-13, Singapore 238896']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
25,https://eatigo.com/sg/singapore/en/r/soon-huat-bak-kut-teh-2212,Soon Huat Bak Kut Teh,4.4 Stars,"['302 Bedok Road (Simpang Bedok),Singapore 469460']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
26,https://eatigo.com/sg/singapore/en/r/southwest-tavern-2485,Southwest Tavern,4 Stars,"['8 Boon Lay Way, Singapore 609964']",['parking (chargeable)'],"['American Express', 'Master Card', 'NETS']",['Casual Dining'],"['English', 'Chinese']"
27,https://eatigo.com/sg/singapore/en/r/spice-brasserie-parkroyal-on-kitchener-road-2647,Spice Brasserie @ PARKROYAL on Kitchener Road,4.4 Stars,"['181 Kitchener Road, Singapore 208533']","['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
