,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/jianghu-hotpot-5001448,Jianghu Hotpot,4 Stars,"['799 New Upper Changi Road, Bedok Point,  #03-01, Singapore 467351']","['parking (chargeable)', 'Private Dining Area', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
1,https://eatigo.com/sg/singapore/en/r/jibiru-craft-beer-bar-2547,JiBiru Craft Beer Bar,4.2 Stars,"['313 Orchard Road #01-26, Singapore 238895']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa', 'Wallet']","['Casual Dining', 'After Work Drinks', 'Al Fresco']",['English']
2,https://eatigo.com/sg/singapore/en/r/jin-fine-dining-1842,Jin Fine Dining,4.6 Stars,"['76 Telok Ayer Street, Singapore 048464']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Romantic Dates']",['English']
3,https://eatigo.com/sg/singapore/en/r/jin-men-da-yuan-steamboat-Jin-Men-Da-Yuan-Huo-Guo--5001900,Jin Men Da Yuan Steamboat 锦门大院火锅,3.9 Stars,"['22 Mosque Street, Singapore 059502']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/jinli-mala-restaurant-5005912,Jinli Mala Restaurant,2.9 Stars,"['450 Toa Payoh Lorong 6 #01-10, Singapore 319394']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
5,https://eatigo.com/sg/singapore/en/r/jinshang-yipin-buffet-hot-pot-5007636,Jinshang Yipin Buffet Hot Pot,4 Stars,"['East Point Mall, #01-20, 3 Simei Street 6, Singapore 528833']","['Child Friendly', 'Accept Credit Cards', 'Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Flip Flop Friendly', 'Large Parties (>12)', 'Kids Friendly']","['English', 'Chinese']"
6,https://eatigo.com/sg/singapore/en/r/jiu-gong-ge-hotpot-Jiu-Gong-Ge-Huo-Guo--5000243,Jiu Gong Ge Hotpot 九宫格火锅,4.5 Stars,"['470 North Bridge Road, Bugis Cube, #01-03, Singapore 188735']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/jomo-5006385,Jomo,4 Stars,"['150 South Bridge Road, #01-16 Fook Hai Building, Singapore 058727']","['Air Conditioning', 'Indoor dining']",['Cash Only'],"['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
8,https://eatigo.com/sg/singapore/en/r/just-acia-bedok-point-5005836,Just Acia @ Bedok Point,4.4 Stars,"['799 New Upper Changi Road, Bedok Point, #01-06/07/08 & #01-K1, Singapore 467351']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
9,https://eatigo.com/sg/singapore/en/r/kan-sushi-1143,Kan Sushi,4.7 Stars,"['10 Anson Road, #02-54 International Plaza, Singapore 079903']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'Wallet']","['Business Meetings', 'After Work Drinks', 'Quiet Dinner']","['English', 'Japanese']"
