,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/pho-street-the-centrepoint-3059,Pho Street @ The Centrepoint,4.4 Stars,['176 Orchard Rd #B1-14 Singapore 238843'],"['Private Dining Area', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
1,https://eatigo.com/sg/singapore/en/r/piano-lounge-5004271,Piano Lounge,4 Stars,"['201 Balestier Rd, Singapore 329926']","['Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Business Meetings', 'After Work Drinks']",['English']
2,https://eatigo.com/sg/singapore/en/r/pietro-ristorante-italiano-3402,Pietro Ristorante Italiano,4.6 Stars,"['12 Jalan Kelulut, Singapore 809030']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/pisces-Shuang-Yu-Zuo-grill-fish-bbq-hotpot-5006988,"Pisces 雙鱼座 Grill Fish, BBQ & Hotpot",3.5 Stars,"['180 Kitchener Road, #03-37/38, Singapore 208539']","['Child Friendly', 'parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family', 'Friendly', 'Family Friendly', 'All day dining']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/pixy-5002626,Pixy,4.7 Stars,"['16 Mohamed Sultan Road, 01-01']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Business Meetings', 'Romantic Dates', 'After Work Drinks']","['English', 'Japanese']"
5,https://eatigo.com/sg/singapore/en/r/pot-yummy-yummy-3405,Pot Yummy Yummy,4.2 Stars,"['80 Telok Ayer Street #01-01, Singapore 048466']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
6,https://eatigo.com/sg/singapore/en/r/potion-bistro-and-bar-nostalgia-hotel-1668,Potion Bistro and Bar @ Nostalgia Hotel,4.1 Stars,"['77 Tiong Bahru Road, Singapore 168727']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks']",['English']
7,https://eatigo.com/sg/singapore/en/r/princess-terrace-cafe-copthorne-king-s-hotel-1880,Princess Terrace Café @ Copthorne King's Hotel,4.3 Stars,"['403 Havelock Road, (Ground Floor),  Singapore 169632']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Business Meetings', 'Family Friendly']",['English']
8,https://eatigo.com/sg/singapore/en/r/pu-tong-ren-5007639,Pu Tong Ren,4 Stars,"['9 Sin Ming Road #01-02, Singapore 208532']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks']",['English']
9,https://eatigo.com/sg/singapore/en/r/purple-greens-5006799,Purple & Greens,4.7 Stars,"['18 Cross Street, China Square Central, #01-116, Singapore 048423']","['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Romantic Dates', 'Family Friendly']","['English', 'Chinese']"
10,https://eatigo.com/sg/singapore/en/r/q-wa-bar-yakitori-5000454,Q-WA Bar & Yakitori,4.2 Stars,"['39 East Coast Road, Singapore 428756']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks']","['English', 'Chinese']"
11,https://eatigo.com/sg/singapore/en/r/q-wa-izakaya-bugis-3415,Q-WA Izakaya @ Bugis,3.9 Stars,"['103 Beach Road, #01-02, Singapore 189704']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Large Parties (>12)', 'Al Fresco']","['English', 'Chinese']"
12,https://eatigo.com/sg/singapore/en/r/qtech-cafe-5006314,Qtech Cafe,4 Stars,"['211 Syed Alwi Road, Singapore 207744']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']","['English', 'Malay', 'Tamil', 'Chinese']"
13,https://eatigo.com/sg/singapore/en/r/quality-cafe-5004218,Quality Cafe,4 Stars,['201 Balestier Rd Singapore 329926'],"['Parking', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Family Friendly', 'Kids Friendly']",['English']
14,https://eatigo.com/sg/singapore/en/r/racines-sofitel-singapore-city-centre-3410,Racines @ Sofitel Singapore City Centre,4.1 Stars,"['9 Wallich Street, Singapore  078885']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Wallet']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Malay', 'Tamil', 'Chinese']"
