,link,name,rating,address,services,payment,atmosphere,spoken_lang
59,https://eatigo.com/sg/singapore/en/r/fu-er-dai-5005806,Fu Er Dai,4.5 Stars,"['55 Serangoon Garden Way, Singapore 555951']","['WiFi', 'Parking', 'Air Conditioning']",['NETS'],"['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
60,https://eatigo.com/sg/singapore/en/r/gangsta-ramen-5007045,Gangsta Ramen,4 Stars,"['1 Tanjong Pagar Plaza, #02-10, Singapore 082001 ']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family', 'Romantic Dates', 'Friendly', 'Family Friendly', 'All day dining', 'Kids Friendly']","['English', 'Chinese']"
61,https://eatigo.com/sg/singapore/en/r/gather-the-misfits-5005263,Gather the Misfits,4 Stars,"['217 Rangoon Road , Singapore 218457']","['WiFi', 'Air Conditioning']","['Cash Only', 'NETS']","['Casual Dining', 'Family Friendly']",['English']
62,https://eatigo.com/sg/singapore/en/r/gelare-onekm-1816,Geláre @ OneKM,4.3 Stars,"['11 Tanjong Katong Road, #03-K1, OneKM Shopping Mall, Singapore 437157']","['Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']",['English']
63,https://eatigo.com/sg/singapore/en/r/gelare-safra-jurong-1815,Geláre @ SAFRA Jurong,4 Stars,"['333 Boon Lay Way, #01-00 SAFRA Jurong, Singapore 649848 (inside Kidz Amaze)']","['Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']",['English']
64,https://eatigo.com/sg/singapore/en/r/georges-the-cove-1195,Georges @ The Cove,3.9 Stars,"['133 Pasir Ris Road, Singapore 519149']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa']","['After Work Drinks', 'Beach side', 'Family Friendly']",['English']
65,https://eatigo.com/sg/singapore/en/r/georges-beach-club-969,Georges Beach Club,3.7 Stars,"['1010 East Coast Parkway, Singapore 449892 Carpark C3 @ East Coast Park']","['Live Band', 'WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa']","['After Work Drinks', 'Beach side', 'Family Friendly']",['English']
66,https://eatigo.com/sg/singapore/en/r/georges-by-the-bay-1197,Georges By The Bay,4.2 Stars,"['3 Punggol Point Road, #02-12 The Punggol Settlement, Singapore 828694']","['WiFi', 'parking (chargeable)']","['Master Card', 'Visa']","['After Work Drinks', 'Outdoor', 'Family Friendly']",['English']
67,https://eatigo.com/sg/singapore/en/r/gin-khao-sino-thai-safra-tampines-5005129,Gin Khao Sino-Thai @ SAFRA Tampines,3.4 Stars,"['SAFRA Tampines, 1/A Tampines Street 92 #01-K2 , Singapore 528882']","['Accept Credit Cards', 'WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
68,https://eatigo.com/sg/singapore/en/r/ginger-parkroyal-on-beach-road-2323,Ginger @ PARKROYAL on Beach Road,3.7 Stars,"['7500A Beach Road, Level 1, Singapore 199591']","['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']",['Family Friendly'],"['English', 'Chinese']"
69,https://eatigo.com/sg/singapore/en/r/ginger-thai-2404,Ginger Thai,3.3 Stars,"['37/39, CUPPAGE ROAD, CUPPAGE TERRACE, SINGAPORE 229460']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly', 'Al Fresco']","['English', 'Tamil', 'Chinese']"
70,https://eatigo.com/sg/singapore/en/r/ginza-lion-2645,Ginza Lion,4.2 Stars,"['3 Temasek Boulevard, #01- 649/650, Tower 4, Suntec City Mall, Singapore 038983']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'Wallet']","['Casual Dining', 'Business Meetings', 'Family Friendly']",['English']
71,https://eatigo.com/sg/singapore/en/r/gloria-jean-s-coffees-hotel-boss-5002794,Gloria Jean's Coffees @ Hotel Boss,4.2 Stars,"['500 Jalan Sultan, Singapore 199020']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
72,https://eatigo.com/sg/singapore/en/r/gloria-jean-s-coffees-marina-square-5001977,Gloria Jean's Coffees @ Marina Square,4.3 Stars,"['6 Raffles Boulevard, Marina Square  #03-132/133, Singapore 039594']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'Cash Only']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
73,https://eatigo.com/sg/singapore/en/r/glow-yummlicious-cafe-5006171,Glow Yummlicious Cafe,4 Stars,['430 Upper Changi Road East Village Mall #01-62 Singapore 487048'],"['WiFi', 'parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
74,https://eatigo.com/sg/singapore/en/r/go-k-bbq-bukit-timah-plaza-5003324,Go! K-BBQ @ Bukit Timah Plaza,4.6 Stars,"['Bukit Timah Plaza, 1 Jalan Anak Bukit, #02-24C Singapore 588996']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Korean']"
75,https://eatigo.com/sg/singapore/en/r/gold-class-r-golden-village-grand-great-world-city-5004047,"Gold Class® @ Golden Village Grand, Great World City",4 Stars,"['1 Kim Seng Promenade, #03-125 Great World City Singapore 237994']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
76,https://eatigo.com/sg/singapore/en/r/gold-class-r-golden-village-katong-5004040,Gold Class® @ Golden Village Katong,4.1 Stars,"['112 East Coast Road #04-09, Singapore 428802']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
77,https://eatigo.com/sg/singapore/en/r/gold-class-r-golden-village-suntec-city-5004044,Gold Class® @ Golden Village Suntec City,3.9 Stars,"['3 Temasek Boulevard #03-373 Suntec City Mall Singapore 038983 (East Wing, next to Tower 4, Level 3)']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
78,https://eatigo.com/sg/singapore/en/r/gold-class-r-golden-village-vivocity-5004042,Gold Class® @ Golden Village VivoCity,4.3 Stars,"['1 Harbourfront Walk, #02-30 VivoCity, Singapore 098585']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
79,https://eatigo.com/sg/singapore/en/r/goldilock-s-oven-5007318,Goldilock's Oven,4 Stars,"['11 Tanjong Katong Rd, #03 - K1, Singapore 437157']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Friendly', 'Family Friendly', 'All day dining']","['English', 'Chinese']"
80,https://eatigo.com/sg/singapore/en/r/good-bites-5004220,Good Bites,4.4 Stars,"['5 Bishan Street 14, #03-01, Singapore 579783']","['Air Conditioning', 'Indoor dining']",['NETS'],"['Casual Dining', 'Business Meetings', 'Family Friendly', 'All day dining']","['English', 'Chinese']"
81,https://eatigo.com/sg/singapore/en/r/grab-gold-r-golden-village-paya-lebar-5004041,Grab & Gold® @ Golden Village Paya Lebar,4.3 Stars,"['10 Eunos Road 8, #03-107 SingPost Centre, Singapore 408600']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
82,https://eatigo.com/sg/singapore/en/r/grab-gold-r-golden-village-suntec-city-5004043,Grab & Gold® @ Golden Village Suntec City,3.7 Stars,"['3 Temasek Boulevard #03-373 Suntec City Mall Singapore 038983 (East Wing, next to Tower 4, Level 3)']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
83,https://eatigo.com/sg/singapore/en/r/grains-greens-5004403,Grains & Greens,4.3 Stars,"['12 Kallang Ave, #01-37 Aperia Mall, Singapore 339511']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
84,https://eatigo.com/sg/singapore/en/r/grapevine-guillemard-3426,Grapevine @ Guillemard,4.3 Stars,"['393 Guillemard Rd, Singapore  399790']",['Air Conditioning'],"['Master Card', 'Visa']","['Business Meetings', 'After Work Drinks', 'Al Fresco']","['English', 'Chinese']"
85,https://eatigo.com/sg/singapore/en/r/grapevine-bar-restaurant-3414,Grapevine Bar & Restaurant,4.1 Stars,"['787 Upper Serangoon Road, Singapore 534655']",['WiFi'],"['Master Card', 'Visa']","['Business Meetings', 'After Work Drinks', 'Al Fresco']","['English', 'Chinese']"
86,https://eatigo.com/sg/singapore/en/r/graviteabar-5001961,Graviteabar,4 Stars,"['18 Cross Street, B1-130 , Singapore 048423']",['Air Conditioning'],['NETS'],"['After Work Drinks', 'desserts', 'Kids Friendly']","['English', 'Chinese']"
