,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/tabbouleh-arab-street-2650,Tabbouleh @ Arab Street,3.5 Stars,"['41 Arab Street, Singapore 199740']",['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Al Fresco']","['English', 'Malay']"
1,https://eatigo.com/sg/singapore/en/r/table-manners-5001702,Table Manners,3.7 Stars,"['5 Changi Business Park Central 1, 01-68/69']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Al Fresco', 'Kids Friendly']","['English', 'Chinese (Simplified)']"
2,https://eatigo.com/sg/singapore/en/r/taiker-song-Tai-Ke-Song--5007352,Taiker Song 台客颂,4 Stars,"['21 McCallum St, The Clift, #01-03Singapore, Singapore 069047Singapore']","['Child Friendly', 'Air Conditioning']",['NETS'],"['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/taikoo-lane-hotpot-5007404,Taikoo Lane Hotpot,4 Stars,"['133 New Bridge Road, Chinatown Point, #B1-16, Singapore 059413']","['WiFi', 'Private Dining Area', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Malay', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/tajimaya-yakiniku-589,Tajimaya Yakiniku,3.8 Stars,"['1 Harbourfront Walk, #01-102/103, Vivocity, Singapore 098585']","['Child Friendly', 'Accept Credit Cards']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly']",['English']
5,https://eatigo.com/sg/singapore/en/r/talay-thai-1609,Talay Thai,4 Stars,"[""Blk 3E River Valley Road, #01-05, Traders' Market, Singapore 179024""]",['parking (chargeable)'],"['Master Card', 'Visa']","['Riverside', 'After Work Drinks']",['English']
6,https://eatigo.com/sg/singapore/en/r/tamaya-dining-3467,Tamaya Dining,4 Stars,"['45 Cuppage Road, Singapore  229464']",['parking (chargeable)'],"['American Express', 'Master Card', 'Visa']","['After Work Drinks', 'Outdoor', 'Al Fresco']","['English', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/tandoor-holiday-inn-orchard-768,Tandoor @ Holiday Inn Orchard,4.5 Stars,"['11 Cavenagh Road, #B1, Holiday Inn Singapore Orchard City Centre, Singapore 229616']",['parking (chargeable)'],"['Master Card', 'Visa', 'NETS']","['Fine Dining', 'Large Parties (>12)', 'Quiet Dinner']",['English']
8,https://eatigo.com/sg/singapore/en/r/tandoor-lounge-5004789,Tandoor Lounge,4.2 Stars,"['3 Punggol Point Road, The Punggol Settlement, #02-11 , Singapore 828694']","['WiFi', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Sea View', 'Al Fresco']","['English', 'Hindi', 'Tamil']"
9,https://eatigo.com/sg/singapore/en/r/tapasta-bar-5002862,Tapasta Bar,4.9 Stars,"['39 Pekin Street #01-01, Singapore 048769']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']",['Casual Dining'],['English']
10,https://eatigo.com/sg/singapore/en/r/taste-of-india-2164,Taste of India,4.3 Stars,"['77 Rangoon Road, Singapore 218365']","['Halal Certified Restaurant', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Tamil']"
11,https://eatigo.com/sg/singapore/en/r/tea-bar-m-hotel-2349,Tea Bar @ M Hotel,3.6 Stars,['81 Anson Road Singapore 079908'],"['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Romantic Dates', 'Family Friendly']",['English']
12,https://eatigo.com/sg/singapore/en/r/teng-sheng-korean-bbq-steamboat-buffet-5001943,Teng Sheng Korean BBQ & Steamboat Buffet,4.2 Stars,"['Sembawang Shopping Centre, 604 Sembawang Rd, #02-24']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese (Simplified)']"
13,https://eatigo.com/sg/singapore/en/r/tgm-singapore-5002266,TGM Singapore,4 Stars,"['Departure Transit Lounge Level 3, Terminal 2, Singapore Changi Airport, Singapore 819642']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese']"
14,https://eatigo.com/sg/singapore/en/r/thai-kha-5001489,Thai Kha,4.6 Stars,"['2 Havelock Road, #01-01 Singapore 059763']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
15,https://eatigo.com/sg/singapore/en/r/thai-d-me-up-2008,Thai'd Me Up,4 Stars,"['271 Bukit Timah Road, Balmoral Plaza, #01-04, Singapore 259708']","['Child Friendly', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly']",['English']
16,https://eatigo.com/sg/singapore/en/r/thailicious-boat-noodles-5001080,Thailicious Boat Noodles,4.2 Stars,"['8 Liang Seah Street, #01-01 Singapore 189029']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
17,https://eatigo.com/sg/singapore/en/r/the-bar-station-arc380-5001880,The BAR Station @ ARC380,4.6 Stars,['380 Jalan Besar #01-06/07/08'],"['Dance Floor', 'WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'Cash Only', 'NETS']","['Casual Dining', 'After Work Drinks', 'Large Parties (>12)']","['English', 'Chinese (Simplified)']"
18,https://eatigo.com/sg/singapore/en/r/the-bar-station-tanjong-katong-5001879,The BAR Station @ Tanjong Katong,4 Stars,['362 Tanjong katong road'],"['Dance Floor', 'WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'After Work Drinks', 'Large Parties (>12)']","['English', 'Chinese (Simplified)']"
19,https://eatigo.com/sg/singapore/en/r/the-best-brew-four-points-by-sheraton-singapore-riverview-2369,"The Best Brew @ Four Points by Sheraton Singapore, Riverview",4 Stars,"['Four Points by Sheraton Singapore, Riverview 382 Havelock Road, Robertson Quay, Singapore 169629']","['Live Band', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'After Work Drinks', 'Al Fresco']",['English']
20,https://eatigo.com/sg/singapore/en/r/the-buffet-m-hotel-1557,The Buffet @ M Hotel,4.1 Stars,"['81 Anson Road, M Hotel Level 2, Singapore 079908']",['WiFi'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Business Meetings', 'Family Friendly']",['English']
21,https://eatigo.com/sg/singapore/en/r/the-caffeine-experience-i12-katong-5005471,The Caffeine Experience @ I12 Katong,4 Stars,"['112 East Coast Road, i12 Katong, #03-45 , Singapore 428802']","['WiFi', 'Air Conditioning']",['NETS'],['Casual Dining'],"['English', 'Chinese']"
22,https://eatigo.com/sg/singapore/en/r/the-co-op-bukit-batok-5005100,The Co-Op @ Bukit Batok,4.1 Stars,"['2 Bukit Batok West Avenue 7 #01-07 A/B, HomeTeamNS Singapore 659003']","['Accept Credit Cards', 'Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
23,https://eatigo.com/sg/singapore/en/r/the-co-op-our-tampines-hub-5005098,The Co-Op @ Our Tampines Hub,3.9 Stars,"['1 Tampines Walk, #03-04, HomeTeamNS Tampines, Our Tampines Hub, Singapore 528729']","['Accept Credit Cards', 'Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
24,https://eatigo.com/sg/singapore/en/r/the-communal-bistro-delicacy-the-cbd--5003567,The Communal Bistro Delicacy (The CBD),4.2 Stars,"['#B1-02 The Sail @ Marina Bay, 2 Marina Boulevard , Singapore 018987 ']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'After Work Drinks']","['English', 'Chinese']"
25,https://eatigo.com/sg/singapore/en/r/the-communal-place-5006032,The Communal Place,4.4 Stars,"['465 Joo Chiat Road, Singapore 427677']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card']","['Cozy', 'Casual Dining', 'Family Friendly', 'Large Parties (>12)', 'Hearty Breakfast']","['English', 'Chinese']"
26,https://eatigo.com/sg/singapore/en/r/the-drunken-poet-1433,The Drunken Poet,4.5 Stars,"['400 Orchard Road, #01 -29C, Orchard Towers, Singapore 238875']",['parking (chargeable)'],"['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks']",['English']
27,https://eatigo.com/sg/singapore/en/r/the-ferntree-cafe-5005707,The FernTree Cafe,4 Stars,"['Hotel Miramar Singapore, 401 Havelock Rd, Lobby Level 1, Singapore 169631']","['WiFi', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'UnionPay']","['Casual Dining', 'Business Meetings', 'Hotel', 'After Work Drinks', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
28,https://eatigo.com/sg/singapore/en/r/the-fine-line-2095,The Fine Line,4.8 Stars,"['23 Lorong Mambong, Singapore 277682']",['Air Conditioning'],"['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks', 'Al Fresco']",['English']
29,https://eatigo.com/sg/singapore/en/r/the-fish-hut-5007212,The Fish Hut,4 Stars,"['10 Sinaran Dr, Square 2, #02-67, Singapore 307506']","['parking (chargeable)', 'Air Conditioning']",['NETS'],"['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
30,https://eatigo.com/sg/singapore/en/r/the-french-ladle-5005642,The French Ladle,4.8 Stars,"['2 Pandan Valley #01-206, Singapore 597626']","['Parking', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly']",['English']
31,https://eatigo.com/sg/singapore/en/r/the-garden-sofitel-singapore-sentosa-resort-spa-2820,The Garden @ Sofitel Singapore Sentosa Resort & Spa,4.5 Stars,"['30 Allanbrooke Rd, Singapore 099983']","['WiFi', 'parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Wallet']","['Business Meetings', 'Romantic Dates', 'Family Friendly', 'Private Functions', 'Quiet Dinner', 'Al Fresco', 'Kids Friendly']","['English', 'Chinese']"
32,https://eatigo.com/sg/singapore/en/r/the-glass-onion-2468,The Glass Onion,4.1 Stars,"['Hotel Mi, 41 Bencoolen Street, #01-03, Singapore 189623']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Tamil', 'Chinese']"
