,link,name,rating,address,services,payment,atmosphere,spoken_lang
109,https://eatigo.com/sg/singapore/en/r/brinda-s-cafe-fort-canning-5004254,Brinda's Cafe @ Fort Canning,4.5 Stars,"['Fort Canning MRT, 170 River Valley Road, #B2–02, Singapore 179038']",['Air Conditioning'],['Cash Only'],['Casual Dining'],['English']
110,https://eatigo.com/sg/singapore/en/r/brinda-s-restaurant-5004341,Brinda's Restaurant,3.9 Stars,"['Blk 162 Bukit Merah Central,#01-3533, Singapore 150162']","['Accept Credit Cards', 'Halal Certified Restaurant', 'Air Conditioning']","['American Express', 'Master Card', 'NETS']","['Casual Dining', 'Family Friendly', 'All day dining']",['English']
111,https://eatigo.com/sg/singapore/en/r/british-indian-curry-hut-1805,British Indian Curry Hut,4.3 Stars,"['30 Lorong Mambong, Holland Village, Singapore 277688']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner', 'Kids Friendly']",['English']
112,https://eatigo.com/sg/singapore/en/r/buibui-bakes-5007534,BuiBui Bakes,4 Stars,"['28 Penhas Road, Hotel Ibis Budget,#01-03, Singapore 208187']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
113,https://eatigo.com/sg/singapore/en/r/cafe-iguana-2443,Cafe Iguana,4.2 Stars,"['30 Merchant Road, #01-03, Riverside Point, Singapore 058282']",['WiFi'],"['American Express', 'Master Card', 'Visa']","['Romantic Dates', 'After Work Drinks', 'Al Fresco']",['English']
114,https://eatigo.com/sg/singapore/en/r/cafe-2000-m-hotel-1527,Café 2000 @ M Hotel,4 Stars,"['81 Anson Road, M Hotel, Ground Floor, Singapore 079908']",['WiFi'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Business Meetings', 'Family Friendly']",['English']
115,https://eatigo.com/sg/singapore/en/r/cafe-de-paris-5004716,Café de Paris,4 Stars,"['313 Orchard Road, #B1-37, Singapore 238895']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Relaxed']","['English', 'Chinese']"
116,https://eatigo.com/sg/singapore/en/r/cafe-lodge-5003890,Café Lodge,3.6 Stars,['Fort Canning Lodge 6 Fort Canning Road Singapore 179494'],"['Child Friendly', 'Accept Credit Cards', 'Air Conditioning', 'Indoor dining']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
117,https://eatigo.com/sg/singapore/en/r/cali-changi-2563,Cali @ Changi,3.7 Stars,"['2 Changi Business  Park Ave 1, Singapore 486015']","['Al fresco / Outdoor Seating', 'WiFi']","['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Al Fresco']",['English']
118,https://eatigo.com/sg/singapore/en/r/cali-rochester-1685,Cali @ Rochester,4.2 Stars,"['31 Rochester Drive, #01-01/02, Park Avenue Hotel, Singapore 138637']","['WiFi', 'parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Al Fresco']",['English']
