,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/nanjing-impressions-5002861,Nanjing Impressions,4.4 Stars,"['68 Orchard Road, #04-46, Plaza Singapura, Singapore 238839']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Private Functions']","['English', 'Chinese']"
1,https://eatigo.com/sg/singapore/en/r/napshot-cafe-5002681,Napshot Cafe,4.5 Stars,"['169 Stirling Road, #01-1149, Singapore 140169']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Business Meetings', 'Family Friendly']","['English', 'Chinese']"
2,https://eatigo.com/sg/singapore/en/r/nassim-hill-bakery-bistro-bar-2565,Napshot Cafe,4.5 Stars,"['169 Stirling Road, #01-1149, Singapore 140169']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Business Meetings', 'Family Friendly']","['English', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/nayana-kpop-cafe-restaurant-5001449,NAYANA Kpop Cafe & Restaurant,3.8 Stars,"['7 Ang Mo Kio Street 66, #01-13, Singapore 567708']","['WiFi', 'parking (chargeable)', 'Air Conditioning']",['NETS'],"['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/new-lotus-thai-145-jalan-besar-1390,NAYANA Kpop Cafe & Restaurant,3.8 Stars,"['7 Ang Mo Kio Street 66, #01-13, Singapore 567708']","['WiFi', 'parking (chargeable)', 'Air Conditioning']",['NETS'],"['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese']"
5,https://eatigo.com/sg/singapore/en/r/ni-pang-zi-grilled-fish-Ni-Pang-Zi-De-Kao-Yu-Dian--5007428,Ni Pang Zi Grilled Fish 尼胖子的烤鱼店,4 Stars,"['77 Boat Quay, Singapore 049865']",['Air Conditioning'],['Cash Only'],"['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Al Fresco']","['English', 'Chinese']"
6,https://eatigo.com/sg/singapore/en/r/niigata-bento-our-tampines-hub-3122,Niigata Bento @ Our Tampines Hub,3.7 Stars,"['Our Tampines Hub, 1 Tampines Walk, #01-86,  Singapore 528523']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Cash Only', 'NETS', 'cash only']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/nj-relish-5002197,NJ Relish,3.7 Stars,"['2, Finlayson Green, Ascott  at Raffles Place']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Private Functions']","['English', 'Chinese (Simplified)']"
8,https://eatigo.com/sg/singapore/en/r/no-3-crab-delicacy-seafood-restaurant-serangoon-5001377,No. 3 Crab Delicacy Seafood Restaurant @ Serangoon,3.8 Stars,['21 Teck Chye Terrace Singapore 545726'],"['parking (chargeable)', 'Private Dining Area', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
9,https://eatigo.com/sg/singapore/en/r/nonya-nonya-restaurant-5003657,Nonya Nonya Restaurant,4.2 Stars,['12 Maju Ave Singapore 556690'],"['Accept Credit Cards', 'parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['Master Card', 'Visa']","['Cozy', 'Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
10,https://eatigo.com/sg/singapore/en/r/nunsongyee-korean-dessert-cafe-bugis-5000078,Nunsongyee Korean Dessert Café @ Bugis,4.3 Stars,"['534 North Bridge Road, Singapore 188749']",['Air Conditioning'],"['Master Card', 'Visa']","['Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
11,https://eatigo.com/sg/singapore/en/r/oasis-grand-hyatt-singapore-1985,Oasis @ Grand Hyatt Singapore,4.3 Stars,"['10 Scotts Road, Singapore 228211']",['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'After Work Drinks', 'Al Fresco', 'Kids Friendly']",['English']
12,https://eatigo.com/sg/singapore/en/r/ohbeertime-5004398,Ohbeertime,4 Stars,['7 Circular Road Singapore 049363 '],"['WiFi', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks', 'Lively']","['English', 'Tagalog', 'Chinese']"
13,https://eatigo.com/sg/singapore/en/r/olivia-co--5001376,Olivia & Co.,4.3 Stars,"['3 Temasek Boulevard, #01-481 Singapore 038983']","['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']",['English']
