,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/lobby-lounge-holiday-inn-orchard-5006800,Lobby Lounge @ Holiday Inn Orchard,3.3 Stars,"['Lobby Holiday Inn Singapore Orchard City Centre, 11 Cavenagh Road, Singapore 229616']","['WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'After Work Drinks', 'Family Friendly']",['English']
1,https://eatigo.com/sg/singapore/en/r/lobby-lounge-singapore-marriott-tang-plaza-hotel-1958,Lobby Lounge @ Singapore Marriott Tang Plaza Hotel,4.2 Stars,"['320 Orchard Road, Lobby Level, Marriott Tang Plaza Hotel, Singapore 238865']","['Accept Credit Cards', 'WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'Business Meetings', 'Lounge']",['English']
2,https://eatigo.com/sg/singapore/en/r/local-restaurant-bar-30-bencoolen-2425,Local Restaurant & Bar @ 30 Bencoolen,4 Stars,['30 Bencoolen St S189621'],['Air Conditioning'],"['Master Card', 'Visa']","['City View', 'Family Friendly']","['English', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/lombardo-s-singapore-5006703,Lombardo’s Singapore,4.4 Stars,"['15 Duxton Road, Singapore 089481']","['Child Friendly', 'WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/lotus-thai-paya-lebar-square-2739,Lotus Thai @ Paya Lebar Square,4.1 Stars,"['60 Paya Lebar Road, #02- 13/14/K1, Paya Lebar Square, Singapore 409051']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Malay', 'Chinese']"
5,https://eatigo.com/sg/singapore/en/r/love-wheels-cafe-bistro-lorong-kilat-5001491,Love Wheels Cafe & Bistro @ Lorong Kilat,4.5 Stars,"['21 Lorong Kilat, #01-03 Sun Court, Singapore 598123']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS', 'UnionPay']","['Casual Dining', 'Family Friendly', 'Quiet Dinner', 'Kids Friendly']",['English']
6,https://eatigo.com/sg/singapore/en/r/lush-bistro-5007326,Lush Bistro,4 Stars,"['171 Chin Swee Road, CES Centre, #01-02, Singapore 169877']","['Accept Credit Cards', 'Air Conditioning']","['Master Card', 'Visa', 'Cash Only']","['Casual Dining', 'Romantic Dates', 'Friendly', 'After Work Drinks']","['English', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/madrinaa-italiano-5004477,Madrinaa Italiano,4.1 Stars,"['Blk 44 Jalan Merah Saga, #01-60, Chip Bee Gardens Holland Village,, Singapore 278116']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa']","['Romantic Dates', 'Family Friendly', 'Al Fresco']",['English']
8,https://eatigo.com/sg/singapore/en/r/makan-koryouri-3089,Makan Koryouri,3.7 Stars,['32 Kandahar Street Singapore 198891'],"['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese']"
9,https://eatigo.com/sg/singapore/en/r/makan-jen-at-hotel-jen-orchard-gateway-960,Makan@Jen at Hotel Jen Orchard Gateway,4.1 Stars,"['277 Orchard Road, Singapore 238858']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']",['Family Friendly'],"['English', 'Chinese']"
10,https://eatigo.com/sg/singapore/en/r/mama-soi-5001992,Mama Soi,3.5 Stars,"['33 Cuppage Road, Cuppage Terrace']","['Live Band', 'Dance Floor', 'parking (chargeable)']","['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks', 'Al Fresco']","['English', 'Chinese (Simplified)']"
11,https://eatigo.com/sg/singapore/en/r/man-dang-dang-bbq-5007033,Man Dang Dang BBQ,4.9 Stars,"['91 Geylang Road, Singapore 389204']","['Accept Credit Cards', 'WiFi', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Diners', 'NETS']","['Casual Dining', 'Family Friendly', 'Large Parties (>12)']","['English', 'Chinese']"
12,https://eatigo.com/sg/singapore/en/r/man-zhu-steamboat-restaurant-5007329,Man Zhu Steamboat Restaurant,4 Stars,"['350 Jurong East Ave 1, #01-1231, Singapore 208532']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Friendly', 'Large Parties (>12)']",['Chinese']
13,https://eatigo.com/sg/singapore/en/r/manpei-2284,Man Zhu Steamboat Restaurant,4 Stars,"['350 Jurong East Ave 1, #01-1231, Singapore 208532']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Friendly', 'Large Parties (>12)']",['Chinese']
14,https://eatigo.com/sg/singapore/en/r/marriott-cafe-singapore-marriott-tang-plaza-hotel-211,Marriott Cafe @ Singapore Marriott Tang Plaza Hotel,4.2 Stars,"['320 Orchard Road, Lobby Level, Marriott Tang Plaza Hotel, Singapore 238865']","['Accept Credit Cards', 'WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'Family Friendly']",['English']
15,https://eatigo.com/sg/singapore/en/r/maru-japanese-restaurant-5007558,Maru Japanese Restaurant,4 Stars,"['12 Gopeng Street, #01-05 to 11, Icon Village, Singapore 078877']","['Accept Credit Cards', 'WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'All day dining']","['English', 'Chinese']"
16,https://eatigo.com/sg/singapore/en/r/marugame-udon-tempura-bedok-mall-5001569,Marugame Udon & Tempura @ Bedok Mall,4.3 Stars,"['Bedok Mall 02-03, 04 311 New Upper Changi Rd']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Romantic Dates', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese (Simplified)']"
17,https://eatigo.com/sg/singapore/en/r/marugame-udon-tempura-raffles-city-5000097,Marugame Udon & Tempura @ Raffles City,4.3 Stars,['252 North Bridge Road #B1-14/15 Raffles City Singapore 179103'],"['parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Romantic Dates', 'Family Friendly']","['English', 'Chinese']"
18,https://eatigo.com/sg/singapore/en/r/mash-pek-kio-5005473,Mash @ Pek Kio,4.7 Stars,"['44 Owen Road, #01-315 Singapore, Singapore 210044']","['WiFi', 'parking (chargeable)', 'Air Conditioning']",['Cash Only'],['Casual Dining'],"['English', 'Chinese']"
19,https://eatigo.com/sg/singapore/en/r/masta-kafe-5004778,Masta Kafe,4.4 Stars,"['1 Lower Kent Ridge Road #03-01 , Singapore 119086 ']","['Halal Certified Restaurant', 'Air Conditioning']",['NETS'],"['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
20,https://eatigo.com/sg/singapore/en/r/mcgettigan-s-5002858,McGettigan's,3.7 Stars,"[""3A River Valley Road, Merchant's Court""]",['Air Conditioning'],"['American Express', 'Master Card', 'Visa']","['Casual Dining', 'After Work Drinks']",['English']
21,https://eatigo.com/sg/singapore/en/r/meat-you-here-5007393,Meat You Here,4 Stars,"['271 Bukit Timah Road, Balmoral Plaza, #01-04ASingapore, Singapore 259708Singapore']","['parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'After Work Drinks', 'All day dining']",['English']
22,https://eatigo.com/sg/singapore/en/r/meats-n-malts-2025,Meats N Malts,4.2 Stars,"['30 Tai Seng Street, #01-07 Breadtalk IHQ, Singapore 543013']","['WiFi', 'parking (chargeable)']","['American Express', 'Master Card', 'Visa']","['After Work Drinks', 'Family Friendly', 'Al Fresco']","['English', 'Chinese']"
23,https://eatigo.com/sg/singapore/en/r/medzs-bistro-bar-5000880,MEDZS Bistro & Bar,3.1 Stars,"['24 Raffles Place, #01-01, Singapore 048621']","['WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'Cash Only', 'NETS']","['Casual Dining', 'After Work Drinks', 'Al Fresco']",['English']
24,https://eatigo.com/sg/singapore/en/r/meet-noodles-Mian-Mian--5007637,Meet Noodles 面面,4 Stars,"['3151 Commonwealth Avenue West, Grantral Mall, #01-15, Singapore 129581']","['Child Friendly', 'Accept Credit Cards', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Flip Flop Friendly', 'Kids Friendly']","['English', 'Chinese']"
25,https://eatigo.com/sg/singapore/en/r/megumi-japanese-restaurant-5004599,Megumi Japanese Restaurant,4.5 Stars,['443 Joo Chiat Road Singapore 427656'],"['parking (chargeable)', 'Air Conditioning', 'Indoor dining']","['Master Card', 'Visa', 'Cash Only']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
26,https://eatigo.com/sg/singapore/en/r/mei-heong-yuen-dessert-Wei-Xiang-Yuan-liang-seah-street-5007366,Mei Heong Yuen Dessert 味香园 @ Liang Seah Street,4.4 Stars,"['16 Liang Seah Street, Singapore 189037']","['parking (chargeable)', 'Air Conditioning']",['Cash Only'],"['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
27,https://eatigo.com/sg/singapore/en/r/mikuni-fairmont-singapore-1969,Mikuni @ Fairmont Singapore,4.7 Stars,"['80 Bras Basah Road, Singapore 189560']",['parking (chargeable)'],"['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Business Meetings', 'Romantic Dates', 'Fine Dining', 'Quiet Dinner']",['English']
28,https://eatigo.com/sg/singapore/en/r/milligram-5000882,Milligram,4.5 Stars,"['5 Straits View, Marina One #01-11, Singapore 018936']",['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'Romantic Dates', 'Family Friendly', 'Quiet Dinner']",['English']
29,https://eatigo.com/sg/singapore/en/r/ming-tang-spicy-roast-fish-5005936,Ming Tang Spicy Roast Fish,4 Stars,"['470 North Bridge Road, Bugis Cube, #01-02, Singapore 188735']",['Air Conditioning'],"['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
30,https://eatigo.com/sg/singapore/en/r/miska-cafe-1976,Miska Cafe,3.8 Stars,"['31 Ocean Way #01-07, Singapore 098375']","['Air Conditioning', 'No Pork, No Lard']","['American Express', 'Master Card', 'Visa']","['Romantic Dates', 'Family Friendly', 'Sea View']",['English']
31,https://eatigo.com/sg/singapore/en/r/mitsu-sushi-bar-2662,Mitsu Sushi Bar,4.6 Stars,"['21 Duxton Road, Singapore 089487']","['Private Dining Area', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'After Work Drinks']",['English']
32,https://eatigo.com/sg/singapore/en/r/mk-levure-naturelle-arc-5005874,MK Levure Naturelle @ ARC,3.8 Stars,"['460 Alexandra Road, Alexandra Retail Centre, #01-08, Singapore 119963']","['Child Friendly', 'parking (chargeable)', 'Air Conditioning']",['NETS'],"['Family Friendly', 'desserts', 'Hearty Breakfast', 'Kids Friendly']","['English', 'Chinese']"
33,https://eatigo.com/sg/singapore/en/r/mk-levure-naturelle-holland-village-5005875,MK Levure Naturelle @ Holland Village,3.4 Stars,"['200 Holland Ave, #B1-08/09, Singapore 278995']","['Child Friendly', 'parking (chargeable)', 'Air Conditioning']",['NETS'],"['Family Friendly', 'Hearty Breakfast', 'Kids Friendly']","['English', 'Chinese']"
